backbone,dataset,experiment,n,mean_d_A,mean_d_B,frac_closer_to_B,wilcoxon_p
TimesFM25_lr3e-4,ETTm1,control,496,0.32676372,0.51425624,0.39314516129032256,8.096674912569342e-09
TimesFM25_lr3e-4,electricity,control,1322,0.3657509,0.45146587,0.4145234493192133,3.729844465285132e-15
TimesFM25_lr3e-4,ETTm2,main,365,0.4986948,0.36403826,0.6082191780821918,3.578196296485691e-06
TimesFM25_lr3e-4,weather,control,1236,0.48767486,0.6079858,0.4215210355987055,2.337984930757816e-08
TimesFM25_lr3e-4,solar,main,6841,0.529445,0.332818,0.634848706329484,6.2890740194947426e-145
TimesFM25_lr3e-4,solar,control,6841,0.31104046,0.5469104,0.3417629001607952,1.1526374048542964e-202
TimesFM25_lr3e-4,PEMS08,main,3614,0.36011976,0.31821573,0.5453790813503043,9.529619888473064e-12
TimesFM25_lr3e-4,PEMS08,control,3614,0.31140366,0.34151927,0.46458218040951854,2.0438943359727618e-07
TimesFM25_lr5e-6,ZafNoo,control,81,0.9984793,1.2684458,0.30864197530864196,0.0005533028795561857
