backbone,dataset,experiment,n,mean_d_A,mean_d_B,frac_closer_to_B,wilcoxon_p
Moirai2,electricity,main (swap dynamic),1322,0.22800131,0.27284032,0.3978819969742814,5.456557361499993e-16
Moirai2,electricity,control (swap invariant),1322,0.2569886,0.2671992,0.45915279878971255,0.0037492529559096386
Moirai2,Combined,main (swap dynamic),1322,0.22800131,0.27284032,0.3978819969742814,5.456557361499993e-16
Moirai2,Combined,control (swap invariant),1322,0.2569886,0.2671992,0.45915279878971255,0.0037492529559096386
TimesFM2.5,electricity,main (swap dynamic),1322,0.36471808,0.360521,0.48789712556732223,0.6840944983194459
TimesFM2.5,electricity,control (swap invariant),1322,0.36804727,0.3533237,0.5287443267776096,0.022861662858511673
TimesFM2.5,Combined,main (swap dynamic),1322,0.36471808,0.360521,0.48789712556732223,0.6840944983194459
TimesFM2.5,Combined,control (swap invariant),1322,0.36804727,0.3533237,0.5287443267776096,0.022861662858511673
