dataset,experiment,n,mean_d_A,mean_d_B,frac_closer_to_B,wilcoxon_p
ETTh1,main (swap dynamic),34,0.47495753,0.31908372,0.6764705882352942,0.02732317999470979
ETTh1,control (swap invariant),34,0.42085242,0.31169102,0.5882352941176471,0.0874475616728887
ETTm1,main (swap dynamic),496,0.3788484,0.46321827,0.4274193548387097,0.0002641140122058448
ETTm1,control (swap invariant),496,0.41126657,0.43382996,0.4899193548387097,0.24792016423490992
electricity,main (swap dynamic),1322,0.39622852,0.36207777,0.540090771558245,0.0005184630158190457
electricity,control (swap invariant),1322,0.41624713,0.42276877,0.4977307110438729,0.9856334088004062
ETTh2,main (swap dynamic),39,0.413425,0.4908155,0.38461538461538464,0.07980852480613976
ETTh2,control (swap invariant),39,0.46221215,0.46533674,0.5384615384615384,0.8957254780943913
ETTm2,main (swap dynamic),365,0.5916864,0.6143186,0.4821917808219178,0.3037490949313085
ETTm2,control (swap invariant),365,0.60166514,0.6009669,0.5178082191780822,0.6188492233027518
weather,main (swap dynamic),1236,0.6822021,0.68357146,0.4959546925566343,0.6930133114543633
weather,control (swap invariant),1236,0.6857512,0.67741776,0.48624595469255666,0.7498457503098025
exchange_rate,main (swap dynamic),42,0.69895697,0.85626847,0.38095238095238093,0.2477147658478316
exchange_rate,control (swap invariant),42,0.6968909,0.875881,0.40476190476190477,0.18703595655506433
traffic,main (swap dynamic),7698,0.4670173,0.5803265,0.4201091192517537,1.1682372896304768e-71
traffic,control (swap invariant),7698,0.48848435,0.5409407,0.49012730579371266,2.938270697720579e-07
solar,main (swap dynamic),6841,0.6492825,0.8379981,0.4388247332261365,7.684394452015456e-33
solar,control (swap invariant),6841,0.6907592,0.79060346,0.47200701651805294,1.4190172531024357e-09
PEMS08,main (swap dynamic),3614,0.450983,0.48412362,0.49031543995572774,0.1159579918958139
PEMS08,control (swap invariant),3614,0.43971428,0.46740142,0.5024903154399557,0.507546026803223
AQWan,main (swap dynamic),296,0.50869954,0.45427698,0.597972972972973,0.017271322960719045
AQWan,control (swap invariant),296,0.4912158,0.46005827,0.5168918918918919,0.7585666516387812
Wind,main (swap dynamic),408,0.58414423,0.5320499,0.5441176470588235,0.08011483845488838
Wind,control (swap invariant),408,0.5816623,0.5062801,0.553921568627451,0.015180551343446652
ZafNoo,main (swap dynamic),81,0.49443087,0.5758233,0.5061728395061729,0.7757579906496822
ZafNoo,control (swap invariant),81,0.47936085,0.6446648,0.3950617283950617,0.025789018330936206
CzeLan,main (swap dynamic),242,0.4795568,0.47448114,0.5,0.8894697956718701
CzeLan,control (swap invariant),242,0.49128553,0.4646156,0.512396694214876,0.4108582516345991
Combined,main (swap dynamic),22714,0.5302553,0.6298418,0.4551378004754777,2.6541507547606722e-65
Combined,control (swap invariant),22714,0.550254,0.601634,0.48877344369111564,2.989604052485631e-12
