dataset,experiment,n,mean_d_A,mean_d_B,frac_closer_to_B,wilcoxon_p
ETTh1,main (swap dynamic),34,0.47755724,0.3338168,0.6470588235294118,0.06958918331656605
ETTh1,control (swap invariant),34,0.44408584,0.29706463,0.6470588235294118,0.054769040434621274
ETTm1,main (swap dynamic),496,0.3821281,0.47523037,0.4092741935483871,8.555066855399705e-07
ETTm1,control (swap invariant),496,0.42545205,0.4356364,0.4838709677419355,0.5098191284186013
electricity,main (swap dynamic),1322,0.4020248,0.3701493,0.5423600605143721,0.001025628549381792
electricity,control (swap invariant),1322,0.41143212,0.41750756,0.5022692889561271,0.7994366129831183
ETTh2,main (swap dynamic),39,0.43401772,0.49738222,0.4358974358974359,0.17558441741130082
ETTh2,control (swap invariant),39,0.46287796,0.48317772,0.5384615384615384,0.8306541132660641
ETTm2,main (swap dynamic),365,0.5781653,0.6472214,0.4794520547945205,0.08102299476058647
ETTm2,control (swap invariant),365,0.6292476,0.5999947,0.5561643835616439,0.44209786031369647
weather,main (swap dynamic),1236,0.738744,0.72718656,0.4967637540453074,0.9071468192871458
weather,control (swap invariant),1236,0.7430251,0.7262019,0.49029126213592233,0.9124523755642004
exchange_rate,main (swap dynamic),42,0.7543035,0.9120784,0.42857142857142855,0.30862450609993175
exchange_rate,control (swap invariant),42,0.80783814,0.9461999,0.4523809523809524,0.39905179274546754
traffic,main (swap dynamic),7698,0.4810819,0.55785125,0.45946999220576773,1.314447904803221e-32
traffic,control (swap invariant),7698,0.46603712,0.55271596,0.441153546375682,7.001596972847572e-49
solar,main (swap dynamic),6841,0.66858244,0.8164426,0.45943575500657796,4.293345263959078e-18
solar,control (swap invariant),6841,0.6870203,0.8096752,0.4480339131705891,1.8248292132996836e-17
PEMS08,main (swap dynamic),3614,0.46503022,0.4926784,0.49889319313779745,0.30341691163919327
PEMS08,control (swap invariant),3614,0.4605837,0.47501355,0.5160486995019369,0.5178373560925784
AQWan,main (swap dynamic),296,0.52092886,0.47256237,0.5709459459459459,0.04012274356223631
AQWan,control (swap invariant),296,0.5035902,0.4642603,0.5135135135135135,0.4550418493959043
Wind,main (swap dynamic),408,0.6340006,0.5735196,0.5367647058823529,0.05756882134403731
Wind,control (swap invariant),408,0.64232653,0.5343117,0.5514705882352942,0.003332241622330293
ZafNoo,main (swap dynamic),81,0.5193644,0.58881366,0.5308641975308642,0.9605710265552201
ZafNoo,control (swap invariant),81,0.5161336,0.62151885,0.4691358024691358,0.20956638773762903
CzeLan,main (swap dynamic),242,0.4838901,0.48408225,0.47107438016528924,0.6935867818297459
CzeLan,control (swap invariant),242,0.49691054,0.45132133,0.512396694214876,0.30617595762122884
Combined,main (swap dynamic),22714,0.5476698,0.6219963,0.4752135246984239,2.507514290975015e-31
Combined,control (swap invariant),22714,0.5501133,0.61542517,0.468433565202078,3.1419184408214253e-34
